Filename	X	Y
0.jpg	0.8338	0.1301
1.jpg	0.8377	0.5032
10.jpg	0.4888	0.4249
100.jpg	0.821	0.8547
101.jpg	0.1976	0.6522
102.jpg	0.499	0.4985
103.jpg	0.499	0.4985
104.jpg	0.7379	0.2533
105.jpg	0.5817	0.8467
106.jpg	0.6703	0.378
107.jpg	0.1633	0.997
108.jpg	0.4819	0.4917
109.jpg	0.8067	0.2585
11.jpg	0.8115	0.6841
110.jpg	0.5582	0.5783
111.jpg	0.4551	0.7195
112.jpg	0.4334	0.8425
113.jpg	0.5122	0.4981
114.jpg	0.0327	0.727
115.jpg	0.77	0.3257
116.jpg	0.4534	0.7898
117.jpg	0.2756	0.9755
118.jpg	0.499	0.4985
119.jpg	0.049	0.997
12.jpg	0.1837	0.862
120.jpg	0.8347	0.7148
121.jpg	0.2241	0.8724
122.jpg	0.9868	0.977
123.jpg	0.4449	0.9954
124.jpg	0.7648	0.1693
125.jpg	0.8868	0.8346
126.jpg	0.4592	0.2148
127.jpg	0.2247	0.8921
128.jpg	0.6924	0.2925
129.jpg	0.1879	0.2637
13.jpg	0.3775	0.2747
130.jpg	0.499	0.4985
131.jpg	0.7817	0.6492
132.jpg	0.499	0.4985
133.jpg	0.2294	0.2032
134.jpg	0.6308	0.4714
14.jpg	0.098	0.997
15.jpg	0.2942	0.8914
16.jpg	0.5789	0.3251
17.jpg	0.497	0.5062
18.jpg	0.0319	0.4508
20.jpg	0.3442	0.7763
22.jpg	0.2015	0.574
23.jpg	0.4133	0.6166
24.jpg	0.8187	0.3039
25.jpg	0.5638	0.2536
26.jpg	0.2561	0.7346
27.jpg	0.6245	0.3053
29.jpg	0.6776	0.8129
3.jpg	0.6834	0.6912
30.jpg	0.1473	0.3742
31.jpg	0.499	0.4985
32.jpg	0.6393	0.1236
33.jpg	0.1133	0.3497
34.jpg	0.2722	0.3112
35.jpg	0.4256	0.632
36.jpg	0.8399	0.7542
37.jpg	0.8462	0.6577
38.jpg	0.2582	0.8022
39.jpg	0.5103	0.5921
4.jpg	0.6664	0.6074
40.jpg	0.6888	0.632
41.jpg	0.1643	0.7255
42.jpg	0.7592	0.8083
43.jpg	0.7062	0.9954
44.jpg	0.499	0.4985
45.jpg	0.8841	0.4375
46.jpg	0.5207	0.4562
47.jpg	0.997	0.997
48.jpg	0.6041	0.1105
49.jpg	0.8705	0.6491
5.jpg	0.3477	0.8313
50.jpg	0.9645	0.047
51.jpg	0.9276	0.5875
52.jpg	0.5449	0.2821
53.jpg	0.3318	0.0771
54.jpg	0.0771	0.9686
55.jpg	0.9041	0.9878
57.jpg	0.8807	0.6243
58.jpg	0.8436	0.1568
59.jpg	0.9674	0.0169
6.jpg	0.3526	0.7738
60.jpg	0.499	0.4985
61.jpg	0.3339	0.3348
62.jpg	0.8307	0.724
63.jpg	0.2945	0.832
64.jpg	0.2704	0.8337
66.jpg	0.8144	0.5372
67.jpg	0.0423	0.8273
68.jpg	0.0837	0.1289
69.jpg	0.2392	0.6899
7.jpg	0.1122	0.1693
70.jpg	0.4222	0.2421
71.jpg	0.8446	0.7315
72.jpg	0.6871	0.3689
73.jpg	0.474	0.5361
74.jpg	0.253	0.2082
75.jpg	0.499	0.4985
76.jpg	0.8137	0.7098
77.jpg	0.4419	0.5063
78.jpg	0.2245	0.997
79.jpg	0.7143	0.4494
8.jpg	0.9858	0.977
80.jpg	0.7706	0.2767
81.jpg	0.4979	0.8672
82.jpg	0.6011	0.1274
83.jpg	0.5827	0.2127
84.jpg	0.499	0.4985
85.jpg	0.749	0.6856
86.jpg	0.2302	0.2151
87.jpg	0.2907	0.2878
88.jpg	0.499	0.4985
89.jpg	0.2696	0.3615
9.jpg	0.3614	0.2824
90.jpg	0.2649	0.517
91.jpg	0.504	0.2183
92.jpg	0.6403	0.7047
93.jpg	0.0	0.2884
94.jpg	0.3371	0.4481
95.jpg	0.256	0.3121
96.jpg	0.4728	0.8469
97.jpg	0.499	0.4985
98.jpg	0.5501	0.8084
99.jpg	0.371	0.5284
